articleid,date,show,title
8602,9-Jul-15,All Things Considered,Joint Chiefs Nominee Says Russia Could Pose 'Existential Threat' To U.S.
8603,9-Jul-15,All Things Considered,How To Take A Picture-Perfect Presidential Candidate Selfie
8604,9-Jul-15,All Things Considered,"Army To Cut 40,000 Troops Over 2 Years At U.S. Bases"
8605,9-Jul-15,All Things Considered,Webb Seeks To Clarify Defense Of Confederate Battle Flag
8606,9-Jul-15,Morning Edition,Watch: Confederate Descendant's Scathing Address In S.C. Flag Debate
8607,9-Jul-15,Fresh Air,South Carolina Gov. Nikki Haley Signs Confederate Flag Bill Into Law
8608,9-Jul-15,All Things Considered,FBI Says It Thwarted Attempted July 4th Attack
8609,9-Jul-15,All Things Considered,Joint Chiefs Nominee Says Russia Could Pose 'Existential Threat' To U.S.
8610,9-Jul-15,All Things Considered,How To Take A Picture-Perfect Presidential Candidate Selfie
8611,9-Jul-15,All Things Considered,"Army To Cut 40,000 Troops Over 2 Years At U.S. Bases"
8612,9-Jul-15,All Things Considered,Webb Seeks To Clarify Defense Of Confederate Battle Flag
8613,9-Jul-15,Morning Edition,Watch: Confederate Descendant's Scathing Address In S.C. Flag Debate
8614,9-Jul-15,Fresh Air,South Carolina Gov. Nikki Haley Signs Confederate Flag Bill Into Law
8615,9-Jul-15,All Things Considered,FBI Says It Thwarted Attempted July 4th Attack
8616,9-Jul-15,All Things Considered,Joint Chiefs Nominee Says Russia Could Pose 'Existential Threat' To U.S.
8617,9-Jul-15,All Things Considered,How To Take A Picture-Perfect Presidential Candidate Selfie
8618,9-Jul-15,All Things Considered,"Army To Cut 40,000 Troops Over 2 Years At U.S. Bases"
8619,9-Jul-15,All Things Considered,Webb Seeks To Clarify Defense Of Confederate Battle Flag
8620,9-Jul-15,Morning Edition,Watch: Confederate Descendant's Scathing Address In S.C. Flag Debate
8621,9-Jul-15,Fresh Air,South Carolina Gov. Nikki Haley Signs Confederate Flag Bill Into Law
8622,9-Jul-15,All Things Considered,FBI Says It Thwarted Attempted July 4th Attack
8623,9-Jul-15,All Things Considered,Joint Chiefs Nominee Says Russia Could Pose 'Existential Threat' To U.S.
8624,9-Jul-15,All Things Considered,How To Take A Picture-Perfect Presidential Candidate Selfie
8625,9-Jul-15,All Things Considered,"Army To Cut 40,000 Troops Over 2 Years At U.S. Bases"
8626,9-Jul-15,All Things Considered,Webb Seeks To Clarify Defense Of Confederate Battle Flag
8627,9-Jul-15,Morning Edition,Watch: Confederate Descendant's Scathing Address In S.C. Flag Debate
8628,9-Jul-15,Fresh Air,South Carolina Gov. Nikki Haley Signs Confederate Flag Bill Into Law
8629,9-Jul-15,All Things Considered,FBI Says It Thwarted Attempted July 4th Attack
8630,9-Jul-15,All Things Considered,Joint Chiefs Nominee Says Russia Could Pose 'Existential Threat' To U.S.
8631,9-Jul-15,All Things Considered,How To Take A Picture-Perfect Presidential Candidate Selfie
8632,9-Jul-15,All Things Considered,"Army To Cut 40,000 Troops Over 2 Years At U.S. Bases"
8633,9-Jul-15,All Things Considered,Webb Seeks To Clarify Defense Of Confederate Battle Flag
8634,9-Jul-15,Fresh Air,South Carolina Gov. Nikki Haley Signs Confederate Flag Bill Into Law
8635,9-Jul-15,All Things Considered,FBI Says It Thwarted Attempted July 4th Attack
8636,9-Jul-15,All Things Considered,Joint Chiefs Nominee Says Russia Could Pose 'Existential Threat' To U.S.
8637,9-Jul-15,All Things Considered,How To Take A Picture-Perfect Presidential Candidate Selfie
8638,9-Jul-15,All Things Considered,"Army To Cut 40,000 Troops Over 2 Years At U.S. Bases"
8639,9-Jul-15,All Things Considered,Webb Seeks To Clarify Defense Of Confederate Battle Flag
8640,9-Jul-15,Morning Edition,South Carolina Gov. Nikki Haley Signs Confederate Flag Bill Into Law
8641,9-Jul-15,All Things Considered,FBI Says It Thwarted Attempted July 4th Attack
8642,9-Jul-15,All Things Considered,Joint Chiefs Nominee Says Russia Could Pose 'Existential Threat' To U.S.
8643,9-Jul-15,All Things Considered,How To Take A Picture-Perfect Presidential Candidate Selfie
8644,9-Jul-15,All Things Considered,"Army To Cut 40,000 Troops Over 2 Years At U.S. Bases"
8645,9-Jul-15,All Things Considered,Webb Seeks To Clarify Defense Of Confederate Battle Flag
8646,10-Jul-15,Morning Edition,"Kudos To Sanders, With A Wink To Clinton, Too"
8647,9-Jul-15,All Things Considered,FBI Says It Thwarted Attempted July 4th Attack
8648,9-Jul-15,All Things Considered,Joint Chiefs Nominee Says Russia Could Pose 'Existential Threat' To U.S.
8649,9-Jul-15,All Things Considered,How To Take A Picture-Perfect Presidential Candidate Selfie
8650,9-Jul-15,All Things Considered,"Army To Cut 40,000 Troops Over 2 Years At U.S. Bases"
8651,9-Jul-15,All Things Considered,Webb Seeks To Clarify Defense Of Confederate Battle Flag
8652,10-Jul-15,Morning Edition,"Kudos To Sanders, With A Wink To Clinton, Too"
8653,10-Jul-15,Morning Edition,It's Back To The Drawing Board For Florida's District Maps
8654,9-Jul-15,All Things Considered,FBI Says It Thwarted Attempted July 4th Attack
8655,9-Jul-15,All Things Considered,Joint Chiefs Nominee Says Russia Could Pose 'Existential Threat' To U.S.
8656,9-Jul-15,All Things Considered,How To Take A Picture-Perfect Presidential Candidate Selfie
8657,9-Jul-15,All Things Considered,"Army To Cut 40,000 Troops Over 2 Years At U.S. Bases"
8658,9-Jul-15,All Things Considered,Webb Seeks To Clarify Defense Of Confederate Battle Flag
8659,10-Jul-15,Morning Edition,"Kudos To Sanders, With A Wink To Clinton, Too"
8660,10-Jul-15,Morning Edition,It's Back To The Drawing Board For Florida's District Maps
8661,10-Jul-15,Morning Edition,Pastors Eye A Move From God's House To The Statehouse
8662,9-Jul-15,All Things Considered,FBI Says It Thwarted Attempted July 4th Attack
8663,9-Jul-15,All Things Considered,Joint Chiefs Nominee Says Russia Could Pose 'Existential Threat' To U.S.
8664,9-Jul-15,All Things Considered,How To Take A Picture-Perfect Presidential Candidate Selfie
8665,9-Jul-15,All Things Considered,"Army To Cut 40,000 Troops Over 2 Years At U.S. Bases"
8666,9-Jul-15,All Things Considered,Webb Seeks To Clarify Defense Of Confederate Battle Flag
8667,10-Jul-15,Morning Edition,"Kudos To Sanders, With A Wink To Clinton, Too"
8668,10-Jul-15,Morning Edition,It's Back To The Drawing Board For Florida's District Maps
8669,10-Jul-15,Morning Edition,Pastors Eye A Move From God's House To The Statehouse
8670,10-Jul-15,Morning Edition,OPM Director Archuleta Resigns In Wake Of Data Breaches
8671,9-Jul-15,All Things Considered,FBI Says It Thwarted Attempted July 4th Attack
8672,9-Jul-15,All Things Considered,Joint Chiefs Nominee Says Russia Could Pose 'Existential Threat' To U.S.
8673,9-Jul-15,All Things Considered,How To Take A Picture-Perfect Presidential Candidate Selfie
8674,9-Jul-15,All Things Considered,"Army To Cut 40,000 Troops Over 2 Years At U.S. Bases"
8675,9-Jul-15,All Things Considered,Webb Seeks To Clarify Defense Of Confederate Battle Flag
8676,10-Jul-15,Morning Edition,"Kudos To Sanders, With A Wink To Clinton, Too"
8677,10-Jul-15,Morning Edition,It's Back To The Drawing Board For Florida's District Maps
8678,10-Jul-15,Morning Edition,Pastors Eye A Move From God's House To The Statehouse
8679,10-Jul-15,Morning Edition,OPM Director Archuleta Resigns In Wake Of Data Breaches
8680,10-Jul-15,Morning Edition,Ginsburg: Liberal Justices Make A Point To Speak With One Voice 
8681,9-Jul-15,All Things Considered,FBI Says It Thwarted Attempted July 4th Attack
8682,9-Jul-15,All Things Considered,Joint Chiefs Nominee Says Russia Could Pose 'Existential Threat' To U.S.
8683,9-Jul-15,All Things Considered,How To Take A Picture-Perfect Presidential Candidate Selfie
8684,9-Jul-15,All Things Considered,"Army To Cut 40,000 Troops Over 2 Years At U.S. Bases"
8685,9-Jul-15,All Things Considered,Webb Seeks To Clarify Defense Of Confederate Battle Flag
8686,10-Jul-15,Morning Edition,"Kudos To Sanders, With A Wink To Clinton, Too"
8687,10-Jul-15,Morning Edition,It's Back To The Drawing Board For Florida's District Maps
8688,10-Jul-15,Morning Edition,Pastors Eye A Move From God's House To The Statehouse
8689,10-Jul-15,Morning Edition,OPM Director Archuleta Resigns In Wake Of Data Breaches
8690,10-Jul-15,Morning Edition,Ginsburg: Liberal Justices Make A Point To Speak With One Voice 
8691,10-Jul-15,Morning Edition,"New York Times, Ted Cruz In Row Over 'Best-Selling' Book "
8692,9-Jul-15,All Things Considered,FBI Says It Thwarted Attempted July 4th Attack
8693,9-Jul-15,All Things Considered,Joint Chiefs Nominee Says Russia Could Pose 'Existential Threat' To U.S.
8694,9-Jul-15,All Things Considered,How To Take A Picture-Perfect Presidential Candidate Selfie
8695,9-Jul-15,All Things Considered,"Army To Cut 40,000 Troops Over 2 Years At U.S. Bases"
8696,9-Jul-15,All Things Considered,Webb Seeks To Clarify Defense Of Confederate Battle Flag
8697,10-Jul-15,Morning Edition,"Kudos To Sanders, With A Wink To Clinton, Too"
8698,10-Jul-15,Morning Edition,It's Back To The Drawing Board For Florida's District Maps
8699,10-Jul-15,Morning Edition,Pastors Eye A Move From God's House To The Statehouse
8700,10-Jul-15,Morning Edition,OPM Director Archuleta Resigns In Wake Of Data Breaches
8701,10-Jul-15,Morning Edition,Ginsburg: Liberal Justices Make A Point To Speak With One Voice 
8702,10-Jul-15,Morning Edition,"New York Times, Ted Cruz In Row Over 'Best-Selling' Book "
8703,9-Jul-15,All Things Considered,FBI Says It Thwarted Attempted July 4th Attack
8704,9-Jul-15,All Things Considered,Joint Chiefs Nominee Says Russia Could Pose 'Existential Threat' To U.S.
8705,9-Jul-15,All Things Considered,How To Take A Picture-Perfect Presidential Candidate Selfie
8706,9-Jul-15,All Things Considered,"Army To Cut 40,000 Troops Over 2 Years At U.S. Bases"
8707,9-Jul-15,All Things Considered,Webb Seeks To Clarify Defense Of Confederate Battle Flag
8708,10-Jul-15,Morning Edition,"Kudos To Sanders, With A Wink To Clinton, Too"
8709,10-Jul-15,Morning Edition,It's Back To The Drawing Board For Florida's District Maps
8710,10-Jul-15,Morning Edition,Pastors Eye A Move From God's House To The Statehouse
8711,10-Jul-15,Morning Edition,OPM Director Archuleta Resigns In Wake Of Data Breaches
8712,10-Jul-15,Morning Edition,Ginsburg: Liberal Justices Make A Point To Speak With One Voice 
8713,10-Jul-15,Morning Edition,"New York Times, Ted Cruz In Row Over 'Best-Selling' Book "
8714,9-Jul-15,All Things Considered,FBI Says It Thwarted Attempted July 4th Attack
8715,9-Jul-15,All Things Considered,Joint Chiefs Nominee Says Russia Could Pose 'Existential Threat' To U.S.
8716,9-Jul-15,All Things Considered,How To Take A Picture-Perfect Presidential Candidate Selfie
8717,9-Jul-15,All Things Considered,"Army To Cut 40,000 Troops Over 2 Years At U.S. Bases"
8718,9-Jul-15,All Things Considered,Webb Seeks To Clarify Defense Of Confederate Battle Flag
8719,10-Jul-15,Morning Edition,"Kudos To Sanders, With A Wink To Clinton, Too"
8720,10-Jul-15,Morning Edition,It's Back To The Drawing Board For Florida's District Maps
8721,10-Jul-15,Morning Edition,Pastors Eye A Move From God's House To The Statehouse
8722,10-Jul-15,Morning Edition,OPM Director Archuleta Resigns In Wake Of Data Breaches
8723,10-Jul-15,Morning Edition,Ginsburg: Liberal Justices Make A Point To Speak With One Voice 
8724,10-Jul-15,Morning Edition,"New York Times, Ted Cruz In Row Over 'Best-Selling' Book "
8725,9-Jul-15,All Things Considered,Joint Chiefs Nominee Says Russia Could Pose 'Existential Threat' To U.S.
8726,9-Jul-15,All Things Considered,How To Take A Picture-Perfect Presidential Candidate Selfie
8727,9-Jul-15,All Things Considered,"Army To Cut 40,000 Troops Over 2 Years At U.S. Bases"
8728,9-Jul-15,All Things Considered,Webb Seeks To Clarify Defense Of Confederate Battle Flag
8729,10-Jul-15,Morning Edition,"Kudos To Sanders, With A Wink To Clinton, Too"
8730,10-Jul-15,Morning Edition,It's Back To The Drawing Board For Florida's District Maps
8731,10-Jul-15,Morning Edition,Pastors Eye A Move From God's House To The Statehouse
8732,10-Jul-15,Morning Edition,OPM Director Archuleta Resigns In Wake Of Data Breaches
8733,10-Jul-15,Morning Edition,Ginsburg: Liberal Justices Make A Point To Speak With One Voice 
8734,10-Jul-15,Morning Edition,"New York Times, Ted Cruz In Row Over 'Best-Selling' Book "
8735,9-Jul-15,All Things Considered,How To Take A Picture-Perfect Presidential Candidate Selfie
8736,9-Jul-15,All Things Considered,"Army To Cut 40,000 Troops Over 2 Years At U.S. Bases"
8737,9-Jul-15,All Things Considered,Webb Seeks To Clarify Defense Of Confederate Battle Flag
8738,10-Jul-15,Morning Edition,"Kudos To Sanders, With A Wink To Clinton, Too"
8739,10-Jul-15,Morning Edition,It's Back To The Drawing Board For Florida's District Maps
8740,10-Jul-15,Morning Edition,Pastors Eye A Move From God's House To The Statehouse
8741,10-Jul-15,Morning Edition,OPM Director Archuleta Resigns In Wake Of Data Breaches
8742,10-Jul-15,Morning Edition,Ginsburg: Liberal Justices Make A Point To Speak With One Voice 
8743,10-Jul-15,Morning Edition,"New York Times, Ted Cruz In Row Over 'Best-Selling' Book "
8744,9-Jul-15,All Things Considered,"Army To Cut 40,000 Troops Over 2 Years At U.S. Bases"
8745,9-Jul-15,All Things Considered,Webb Seeks To Clarify Defense Of Confederate Battle Flag
8746,10-Jul-15,Morning Edition,"Kudos To Sanders, With A Wink To Clinton, Too"
8747,10-Jul-15,Morning Edition,It's Back To The Drawing Board For Florida's District Maps
8748,10-Jul-15,Morning Edition,Pastors Eye A Move From God's House To The Statehouse
8749,10-Jul-15,Morning Edition,OPM Director Archuleta Resigns In Wake Of Data Breaches
8750,10-Jul-15,Morning Edition,Ginsburg: Liberal Justices Make A Point To Speak With One Voice 
8751,10-Jul-15,Morning Edition,"New York Times, Ted Cruz In Row Over 'Best-Selling' Book "
8752,9-Jul-15,All Things Considered,Webb Seeks To Clarify Defense Of Confederate Battle Flag
8753,10-Jul-15,Morning Edition,"Kudos To Sanders, With A Wink To Clinton, Too"
8754,10-Jul-15,Morning Edition,It's Back To The Drawing Board For Florida's District Maps
8755,10-Jul-15,Morning Edition,Pastors Eye A Move From God's House To The Statehouse
8756,10-Jul-15,Morning Edition,OPM Director Archuleta Resigns In Wake Of Data Breaches
8757,10-Jul-15,Morning Edition,Ginsburg: Liberal Justices Make A Point To Speak With One Voice 
8758,10-Jul-15,Morning Edition,"New York Times, Ted Cruz In Row Over 'Best-Selling' Book "
8759,11-Jul-15,All Things Considered,Pot Politics: The Marijuana Business Comes To Washington
8760,9-Jul-15,All Things Considered,Webb Seeks To Clarify Defense Of Confederate Battle Flag
8761,10-Jul-15,Morning Edition,"Kudos To Sanders, With A Wink To Clinton, Too"
8762,10-Jul-15,Morning Edition,It's Back To The Drawing Board For Florida's District Maps
8763,10-Jul-15,Morning Edition,Pastors Eye A Move From God's House To The Statehouse
8764,10-Jul-15,Morning Edition,OPM Director Archuleta Resigns In Wake Of Data Breaches
8765,10-Jul-15,Morning Edition,Ginsburg: Liberal Justices Make A Point To Speak With One Voice 
8766,10-Jul-15,Morning Edition,"New York Times, Ted Cruz In Row Over 'Best-Selling' Book "
8767,11-Jul-15,All Things Considered,Pot Politics: The Marijuana Business Comes To Washington
8768,11-Jul-15,Weekend Edition Saturday,"In Florida, A Former Fast-Food Worker Lands In Medicaid Gap"
8769,10-Jul-15,Morning Edition,"Kudos To Sanders, With A Wink To Clinton, Too"
8770,10-Jul-15,Morning Edition,It's Back To The Drawing Board For Florida's District Maps
8771,10-Jul-15,Morning Edition,Pastors Eye A Move From God's House To The Statehouse
8772,10-Jul-15,Morning Edition,OPM Director Archuleta Resigns In Wake Of Data Breaches
8773,10-Jul-15,Morning Edition,Ginsburg: Liberal Justices Make A Point To Speak With One Voice 
8774,10-Jul-15,Morning Edition,"New York Times, Ted Cruz In Row Over 'Best-Selling' Book "
8775,11-Jul-15,All Things Considered,Pot Politics: The Marijuana Business Comes To Washington
8776,11-Jul-15,Weekend Edition Saturday,"In Florida, A Former Fast-Food Worker Lands In Medicaid Gap"
8777,12-Jul-15,Weekend Edition Saturday,5 Things You Should Know About Scott Walker
8778,10-Jul-15,Morning Edition,"Kudos To Sanders, With A Wink To Clinton, Too"
8779,10-Jul-15,Morning Edition,It's Back To The Drawing Board For Florida's District Maps
8780,10-Jul-15,Morning Edition,Pastors Eye A Move From God's House To The Statehouse
8781,10-Jul-15,Morning Edition,OPM Director Archuleta Resigns In Wake Of Data Breaches
8782,10-Jul-15,Morning Edition,Ginsburg: Liberal Justices Make A Point To Speak With One Voice 
8783,10-Jul-15,Morning Edition,"New York Times, Ted Cruz In Row Over 'Best-Selling' Book "
8784,11-Jul-15,All Things Considered,Pot Politics: The Marijuana Business Comes To Washington
8785,11-Jul-15,Weekend Edition Saturday,"In Florida, A Former Fast-Food Worker Lands In Medicaid Gap"
8786,12-Jul-15,Weekend Edition Saturday,5 Things You Should Know About Scott Walker
8787,12-Jul-15,Weekend Edition Saturday,Power of the Pocketbook: Women Gaining Influence As Campaign Donors 
8788,10-Jul-15,Morning Edition,"Kudos To Sanders, With A Wink To Clinton, Too"
8789,10-Jul-15,Morning Edition,It's Back To The Drawing Board For Florida's District Maps
8790,10-Jul-15,Morning Edition,Pastors Eye A Move From God's House To The Statehouse
8791,10-Jul-15,Morning Edition,OPM Director Archuleta Resigns In Wake Of Data Breaches
8792,10-Jul-15,Morning Edition,Ginsburg: Liberal Justices Make A Point To Speak With One Voice 
8793,10-Jul-15,Morning Edition,"New York Times, Ted Cruz In Row Over 'Best-Selling' Book "
8794,11-Jul-15,All Things Considered,Pot Politics: The Marijuana Business Comes To Washington
8795,11-Jul-15,Weekend Edition Saturday,"In Florida, A Former Fast-Food Worker Lands In Medicaid Gap"
8796,12-Jul-15,Weekend Edition Saturday,5 Things You Should Know About Scott Walker
8797,12-Jul-15,Weekend Edition Saturday,Power of the Pocketbook: Women Gaining Influence As Campaign Donors 
8798,12-Jul-15,Weekend Edition Saturday,"White House Hosts Tribal Youth, The 'Heart Of The American Story'"
8799,10-Jul-15,Morning Edition,"Kudos To Sanders, With A Wink To Clinton, Too"
8800,10-Jul-15,Morning Edition,It's Back To The Drawing Board For Florida's District Maps
8801,10-Jul-15,Morning Edition,Pastors Eye A Move From God's House To The Statehouse
8802,10-Jul-15,Morning Edition,OPM Director Archuleta Resigns In Wake Of Data Breaches
8803,10-Jul-15,Morning Edition,Ginsburg: Liberal Justices Make A Point To Speak With One Voice 
8804,10-Jul-15,Morning Edition,"New York Times, Ted Cruz In Row Over 'Best-Selling' Book "
8805,11-Jul-15,All Things Considered,Pot Politics: The Marijuana Business Comes To Washington
8806,11-Jul-15,Weekend Edition Saturday,"In Florida, A Former Fast-Food Worker Lands In Medicaid Gap"
8807,12-Jul-15,Weekend Edition Saturday,5 Things You Should Know About Scott Walker
8808,12-Jul-15,Weekend Edition Saturday,Power of the Pocketbook: Women Gaining Influence As Campaign Donors 
8809,12-Jul-15,Weekend Edition Saturday,"White House Hosts Tribal Youth, The 'Heart Of The American Story'"
8810,10-Jul-15,Morning Edition,"Kudos To Sanders, With A Wink To Clinton, Too"
8811,10-Jul-15,Morning Edition,It's Back To The Drawing Board For Florida's District Maps
8812,10-Jul-15,Morning Edition,Pastors Eye A Move From God's House To The Statehouse
8813,10-Jul-15,Morning Edition,OPM Director Archuleta Resigns In Wake Of Data Breaches
8814,10-Jul-15,Morning Edition,Ginsburg: Liberal Justices Make A Point To Speak With One Voice 
8815,10-Jul-15,Morning Edition,"New York Times, Ted Cruz In Row Over 'Best-Selling' Book "
8816,11-Jul-15,All Things Considered,Pot Politics: The Marijuana Business Comes To Washington
8817,11-Jul-15,Weekend Edition Saturday,"In Florida, A Former Fast-Food Worker Lands In Medicaid Gap"
8818,12-Jul-15,Weekend Edition Saturday,5 Things You Should Know About Scott Walker
8819,12-Jul-15,Weekend Edition Saturday,Power of the Pocketbook: Women Gaining Influence As Campaign Donors 
8820,12-Jul-15,Weekend Edition Saturday,"White House Hosts Tribal Youth, The 'Heart Of The American Story'"
8821,13-Jul-15,Morning Edition,N.C. Trial Outcome Could Sway National Voting Rights Measures
8822,10-Jul-15,Morning Edition,"Kudos To Sanders, With A Wink To Clinton, Too"
8823,10-Jul-15,Morning Edition,It's Back To The Drawing Board For Florida's District Maps
8824,10-Jul-15,Morning Edition,Pastors Eye A Move From God's House To The Statehouse
8825,10-Jul-15,Morning Edition,OPM Director Archuleta Resigns In Wake Of Data Breaches
8826,10-Jul-15,Morning Edition,Ginsburg: Liberal Justices Make A Point To Speak With One Voice 
8827,10-Jul-15,Morning Edition,"New York Times, Ted Cruz In Row Over 'Best-Selling' Book "
8828,11-Jul-15,All Things Considered,Pot Politics: The Marijuana Business Comes To Washington
8829,11-Jul-15,Weekend Edition Saturday,"In Florida, A Former Fast-Food Worker Lands In Medicaid Gap"
8830,12-Jul-15,Weekend Edition Saturday,5 Things You Should Know About Scott Walker
8831,12-Jul-15,Weekend Edition Saturday,Power of the Pocketbook: Women Gaining Influence As Campaign Donors 
8832,12-Jul-15,Weekend Edition Saturday,"White House Hosts Tribal Youth, The 'Heart Of The American Story'"
8833,13-Jul-15,Morning Edition,N.C. Trial Outcome Could Sway National Voting Rights Measures
8834,10-Jul-15,Morning Edition,It's Back To The Drawing Board For Florida's District Maps
8835,10-Jul-15,Morning Edition,Pastors Eye A Move From God's House To The Statehouse
8836,10-Jul-15,Morning Edition,OPM Director Archuleta Resigns In Wake Of Data Breaches
8837,10-Jul-15,Morning Edition,Ginsburg: Liberal Justices Make A Point To Speak With One Voice 
8838,10-Jul-15,Morning Edition,"New York Times, Ted Cruz In Row Over 'Best-Selling' Book "
8839,11-Jul-15,All Things Considered,Pot Politics: The Marijuana Business Comes To Washington
8840,11-Jul-15,Weekend Edition Saturday,"In Florida, A Former Fast-Food Worker Lands In Medicaid Gap"
8841,12-Jul-15,Weekend Edition Saturday,5 Things You Should Know About Scott Walker
8842,12-Jul-15,Weekend Edition Saturday,Power of the Pocketbook: Women Gaining Influence As Campaign Donors 
8843,12-Jul-15,Weekend Edition Saturday,"White House Hosts Tribal Youth, The 'Heart Of The American Story'"
8844,13-Jul-15,Morning Edition,N.C. Trial Outcome Could Sway National Voting Rights Measures
8845,13-Jul-15,Morning Edition,Even Retired Comedians Can't Resist A Few Good Trump Jokes
8846,10-Jul-15,Morning Edition,Pastors Eye A Move From God's House To The Statehouse
8847,10-Jul-15,Morning Edition,OPM Director Archuleta Resigns In Wake Of Data Breaches
8848,10-Jul-15,Morning Edition,Ginsburg: Liberal Justices Make A Point To Speak With One Voice 
8849,10-Jul-15,Morning Edition,"New York Times, Ted Cruz In Row Over 'Best-Selling' Book "
8850,11-Jul-15,All Things Considered,Pot Politics: The Marijuana Business Comes To Washington
8851,11-Jul-15,Weekend Edition Saturday,"In Florida, A Former Fast-Food Worker Lands In Medicaid Gap"
8852,12-Jul-15,Weekend Edition Saturday,5 Things You Should Know About Scott Walker
8853,12-Jul-15,Weekend Edition Saturday,Power of the Pocketbook: Women Gaining Influence As Campaign Donors 
8854,12-Jul-15,Weekend Edition Saturday,"White House Hosts Tribal Youth, The 'Heart Of The American Story'"
8855,13-Jul-15,Morning Edition,N.C. Trial Outcome Could Sway National Voting Rights Measures
8856,13-Jul-15,Morning Edition,Even Retired Comedians Can't Resist A Few Good Trump Jokes
8857,13-Jul-15,Morning Edition,Scott Walker Sidles Into A Crowded GOP Presidential Field
8858,10-Jul-15,Morning Edition,OPM Director Archuleta Resigns In Wake Of Data Breaches
8859,10-Jul-15,Morning Edition,Ginsburg: Liberal Justices Make A Point To Speak With One Voice 
8860,10-Jul-15,Morning Edition,"New York Times, Ted Cruz In Row Over 'Best-Selling' Book "
8861,11-Jul-15,All Things Considered,Pot Politics: The Marijuana Business Comes To Washington
8862,11-Jul-15,Weekend Edition Saturday,"In Florida, A Former Fast-Food Worker Lands In Medicaid Gap"
8863,12-Jul-15,Weekend Edition Saturday,5 Things You Should Know About Scott Walker
8864,12-Jul-15,Weekend Edition Saturday,Power of the Pocketbook: Women Gaining Influence As Campaign Donors 
8865,12-Jul-15,Weekend Edition Saturday,"White House Hosts Tribal Youth, The 'Heart Of The American Story'"
8866,13-Jul-15,Morning Edition,N.C. Trial Outcome Could Sway National Voting Rights Measures
8867,13-Jul-15,Morning Edition,Even Retired Comedians Can't Resist A Few Good Trump Jokes
8868,13-Jul-15,Morning Edition,Scott Walker Sidles Into A Crowded GOP Presidential Field
8869,13-Jul-15,Morning Edition,Scott Walker Is Betting It All On Iowa 
8870,10-Jul-15,Morning Edition,Ginsburg: Liberal Justices Make A Point To Speak With One Voice 
8871,10-Jul-15,Morning Edition,"New York Times, Ted Cruz In Row Over 'Best-Selling' Book "
8872,11-Jul-15,All Things Considered,Pot Politics: The Marijuana Business Comes To Washington
8873,11-Jul-15,Weekend Edition Saturday,"In Florida, A Former Fast-Food Worker Lands In Medicaid Gap"
8874,12-Jul-15,Weekend Edition Saturday,5 Things You Should Know About Scott Walker
8875,12-Jul-15,Weekend Edition Saturday,Power of the Pocketbook: Women Gaining Influence As Campaign Donors 
8876,12-Jul-15,Weekend Edition Saturday,"White House Hosts Tribal Youth, The 'Heart Of The American Story'"
8877,13-Jul-15,Morning Edition,N.C. Trial Outcome Could Sway National Voting Rights Measures
8878,13-Jul-15,Morning Edition,Even Retired Comedians Can't Resist A Few Good Trump Jokes
8879,13-Jul-15,Morning Edition,Scott Walker Sidles Into A Crowded GOP Presidential Field
8880,13-Jul-15,Morning Edition,Scott Walker Is Betting It All On Iowa 
8881,13-Jul-15,Morning Edition,New Drug Agency Chief To Revive Take-Back Program
8882,10-Jul-15,Morning Edition,"New York Times, Ted Cruz In Row Over 'Best-Selling' Book "
8883,11-Jul-15,All Things Considered,Pot Politics: The Marijuana Business Comes To Washington
8884,11-Jul-15,Weekend Edition Saturday,"In Florida, A Former Fast-Food Worker Lands In Medicaid Gap"
8885,12-Jul-15,Weekend Edition Saturday,5 Things You Should Know About Scott Walker
8886,12-Jul-15,Weekend Edition Saturday,Power of the Pocketbook: Women Gaining Influence As Campaign Donors 
8887,12-Jul-15,Weekend Edition Saturday,"White House Hosts Tribal Youth, The 'Heart Of The American Story'"
8888,13-Jul-15,Morning Edition,N.C. Trial Outcome Could Sway National Voting Rights Measures
8889,13-Jul-15,Morning Edition,Even Retired Comedians Can't Resist A Few Good Trump Jokes
8890,13-Jul-15,Morning Edition,Scott Walker Sidles Into A Crowded GOP Presidential Field
8891,13-Jul-15,Morning Edition,Scott Walker Is Betting It All On Iowa 
8892,13-Jul-15,Morning Edition,New Drug Agency Chief To Revive Take-Back Program
8893,11-Jul-15,All Things Considered,Pot Politics: The Marijuana Business Comes To Washington
8894,11-Jul-15,Weekend Edition Saturday,"In Florida, A Former Fast-Food Worker Lands In Medicaid Gap"
8895,12-Jul-15,Weekend Edition Saturday,5 Things You Should Know About Scott Walker
8896,12-Jul-15,Weekend Edition Saturday,Power of the Pocketbook: Women Gaining Influence As Campaign Donors 
8897,12-Jul-15,Weekend Edition Saturday,"White House Hosts Tribal Youth, The 'Heart Of The American Story'"
8898,13-Jul-15,Morning Edition,N.C. Trial Outcome Could Sway National Voting Rights Measures
8899,13-Jul-15,Morning Edition,Even Retired Comedians Can't Resist A Few Good Trump Jokes
8900,13-Jul-15,Morning Edition,Scott Walker Sidles Into A Crowded GOP Presidential Field
8901,13-Jul-15,Morning Edition,Scott Walker Is Betting It All On Iowa 
8902,13-Jul-15,Morning Edition,New Drug Agency Chief To Revive Take-Back Program
8903,11-Jul-15,All Things Considered,Pot Politics: The Marijuana Business Comes To Washington
8904,11-Jul-15,Weekend Edition Saturday,"In Florida, A Former Fast-Food Worker Lands In Medicaid Gap"
