articleid,date,show,title
72,15-Apr-15,All Things Considered,Former FBI Agent Speaks Out: 'I Was Not Protected'
73,15-Apr-15,All Things Considered,President Obama To Remove Cuba From State-Sponsored Terrorism List
74,16-Apr-15,Morning Edition,Vulnerable Voting Machine Raises Questions About Election Security
75,16-Apr-15,Morning Edition,Throwback Thursday: Reagan Announces Run For President
76,16-Apr-15,Morning Edition,"In Or Out In Congress? Gyrocopters, Tweets To Iran, Downton Abbey"
77,16-Apr-15,All Things Considered,The Most Corrupt State In The Country Is ...
78,17-Apr-15,Morning Edition,#NPRreads: From The Hell Of The North To 'Trash' Food
79,17-Apr-15,Morning Edition,Why A Blockbuster Of A Trade Deal With Asia Matters
80,17-Apr-15,Morning Edition,5 Things You Should Know About Mike Huckabee
81,17-Apr-15,All Things Considered,Oklahoma City Bombing A 'Wake-Up Call' For Government Security
82,17-Apr-15,All Things Considered,Hillary Clinton Supports Amendment To Get Hidden Money Out Of Politics
83,17-Apr-15,All Things Considered,A Ticking Clock Threatens Obama's Immigration Plan
84,15-Apr-15,All Things Considered,"You Didn't Check The 'Presidential Election Campaign' Box On Your Taxes, Did You?"
85,15-Apr-15,All Things Considered,Congress Says It Will Not Tolerate 'Agents Gone Wild'
86,15-Apr-15,All Things Considered,Former FBI Agent Speaks Out: 'I Was Not Protected'
87,15-Apr-15,All Things Considered,President Obama To Remove Cuba From State-Sponsored Terrorism List
88,16-Apr-15,Morning Edition,Vulnerable Voting Machine Raises Questions About Election Security
89,16-Apr-15,Morning Edition,Throwback Thursday: Reagan Announces Run For President
90,16-Apr-15,Morning Edition,"In Or Out In Congress? Gyrocopters, Tweets To Iran, Downton Abbey"
91,16-Apr-15,All Things Considered,The Most Corrupt State In The Country Is ...
92,17-Apr-15,Morning Edition,#NPRreads: From The Hell Of The North To 'Trash' Food
93,17-Apr-15,Morning Edition,Why A Blockbuster Of A Trade Deal With Asia Matters
94,17-Apr-15,Morning Edition,5 Things You Should Know About Mike Huckabee
95,17-Apr-15,All Things Considered,Oklahoma City Bombing A 'Wake-Up Call' For Government Security
96,17-Apr-15,All Things Considered,Hillary Clinton Supports Amendment To Get Hidden Money Out Of Politics
97,17-Apr-15,All Things Considered,A Ticking Clock Threatens Obama's Immigration Plan
98,17-Apr-15,All Things Considered,"On Links As In Life, D.C. Bipartisan Relations Are Deep In The Rough"
99,15-Apr-15,All Things Considered,Congress Says It Will Not Tolerate 'Agents Gone Wild'
100,15-Apr-15,All Things Considered,Former FBI Agent Speaks Out: 'I Was Not Protected'
101,15-Apr-15,All Things Considered,President Obama To Remove Cuba From State-Sponsored Terrorism List
102,16-Apr-15,Morning Edition,Vulnerable Voting Machine Raises Questions About Election Security
103,16-Apr-15,Morning Edition,Throwback Thursday: Reagan Announces Run For President
104,16-Apr-15,Morning Edition,"In Or Out In Congress? Gyrocopters, Tweets To Iran, Downton Abbey"
105,16-Apr-15,All Things Considered,The Most Corrupt State In The Country Is ...
106,17-Apr-15,Morning Edition,#NPRreads: From The Hell Of The North To 'Trash' Food
107,17-Apr-15,Morning Edition,Why A Blockbuster Of A Trade Deal With Asia Matters
108,17-Apr-15,Morning Edition,5 Things You Should Know About Mike Huckabee
109,17-Apr-15,All Things Considered,Oklahoma City Bombing A 'Wake-Up Call' For Government Security
110,17-Apr-15,All Things Considered,Hillary Clinton Supports Amendment To Get Hidden Money Out Of Politics
111,17-Apr-15,All Things Considered,A Ticking Clock Threatens Obama's Immigration Plan
112,17-Apr-15,All Things Considered,"On Links As In Life, D.C. Bipartisan Relations Are Deep In The Rough"
113,18-Apr-15,Weekend Edition Saturday,"The Cat-And-Mouse Game Of The Great Clinton Chase, Iowa Edition"
114,15-Apr-15,All Things Considered,Former FBI Agent Speaks Out: 'I Was Not Protected'
115,15-Apr-15,All Things Considered,President Obama To Remove Cuba From State-Sponsored Terrorism List
116,16-Apr-15,Morning Edition,Vulnerable Voting Machine Raises Questions About Election Security
117,16-Apr-15,Morning Edition,Throwback Thursday: Reagan Announces Run For President
118,16-Apr-15,Morning Edition,"In Or Out In Congress? Gyrocopters, Tweets To Iran, Downton Abbey"
119,16-Apr-15,All Things Considered,The Most Corrupt State In The Country Is ...
120,17-Apr-15,Morning Edition,#NPRreads: From The Hell Of The North To 'Trash' Food
121,17-Apr-15,Morning Edition,Why A Blockbuster Of A Trade Deal With Asia Matters
122,17-Apr-15,Morning Edition,5 Things You Should Know About Mike Huckabee
123,17-Apr-15,All Things Considered,Oklahoma City Bombing A 'Wake-Up Call' For Government Security
124,17-Apr-15,All Things Considered,Hillary Clinton Supports Amendment To Get Hidden Money Out Of Politics
125,17-Apr-15,All Things Considered,A Ticking Clock Threatens Obama's Immigration Plan
126,17-Apr-15,All Things Considered,"On Links As In Life, D.C. Bipartisan Relations Are Deep In The Rough"
127,18-Apr-15,Weekend Edition Saturday,"The Cat-And-Mouse Game Of The Great Clinton Chase, Iowa Edition"
128,18-Apr-15,Weekend Edition Saturday,"O'Malley, Possible Clinton Rival, Says A President Can't Let Polls Lead"
129,15-Apr-15,All Things Considered,President Obama To Remove Cuba From State-Sponsored Terrorism List
130,16-Apr-15,Morning Edition,Vulnerable Voting Machine Raises Questions About Election Security
